tissue,pc,score
blood,1,-40.920166015625
blood,1,-53.78154754638672
blood,1,8.295045852661133
blood,1,8.283839225769043
blood,1,25.847309112548828
blood,1,-1.995449185371399
blood,1,-119.33219909667969
blood,1,56.75651550292969
blood,1,-19.5768985748291
blood,1,57.514381408691406
blood,1,72.13752746582031
blood,1,14.593113899230957
blood,1,-88.08209991455078
blood,1,8.898658752441406
blood,1,29.92351531982422
blood,1,-87.72105407714844
blood,1,-97.17957305908203
blood,1,125.08699035644531
blood,1,-30.957279205322266
blood,1,-78.58953094482422
blood,1,-39.43550491333008
blood,1,-17.287353515625
blood,1,10.524619102478027
blood,1,-27.544828414916992
blood,1,67.4192886352539
blood,1,-63.746124267578125
blood,1,-17.423105239868164
blood,1,18.088218688964844
blood,1,-35.92083740234375
blood,1,-72.20841979980469
blood,1,73.65741729736328
blood,1,43.50762939453125
blood,1,-84.42510986328125
blood,1,-55.654029846191406
blood,1,-71.34487915039062
blood,1,-21.904422760009766
blood,1,-13.637125015258789
blood,1,-36.97556686401367
blood,1,-15.990976333618164
blood,1,-94.89873504638672
blood,1,-78.36660766601562
blood,1,-111.0164566040039
blood,1,-45.53572082519531
blood,1,-65.7793960571289
blood,1,-20.91875457763672
blood,1,13.991412162780762
blood,1,-44.799659729003906
blood,1,2.0349619388580322
blood,1,-46.88205337524414
blood,1,-41.49444580078125
blood,1,88.041015625
blood,1,44.868438720703125
blood,1,-32.658302307128906
blood,1,89.15831756591797
blood,1,-126.22915649414062
blood,1,-74.66764068603516
blood,1,-19.75404167175293
blood,1,33.76459884643555
blood,1,25.35872459411621
blood,1,-97.92558288574219
blood,1,-46.65110397338867
blood,1,-86.65090942382812
blood,1,-1.656046748161316
blood,1,-65.28966522216797
blood,1,1.6519643068313599
blood,1,-62.08909225463867
blood,1,-29.636737823486328
blood,1,-15.340643882751465
blood,1,57.26719665527344
blood,1,93.50900268554688
blood,1,33.0572395324707
blood,1,29.71795654296875
blood,1,-93.56881713867188
blood,1,-57.29380416870117
blood,1,-23.9405574798584
blood,1,-79.08939361572266
blood,1,-40.18919372558594
blood,1,-33.28431701660156
blood,1,36.192264556884766
blood,1,38.306907653808594
blood,1,-50.80648422241211
blood,1,-47.4729118347168
blood,1,-56.18189239501953
blood,1,-105.43267059326172
blood,1,-82.51014709472656
blood,1,-163.61080932617188
blood,1,31.071918487548828
blood,1,23.231163024902344
blood,1,-77.89188385009766
blood,1,-5.357836723327637
blood,1,33.234100341796875
blood,1,29.042404174804688
blood,1,-27.582914352416992
blood,1,-117.72042846679688
blood,1,15.535392761230469
blood,1,71.59718322753906
blood,1,17.95711898803711
blood,1,-73.4663314819336
blood,1,-50.610206604003906
blood,1,31.66667366027832
blood,1,-57.8936653137207
blood,1,58.144775390625
blood,1,84.0685806274414
blood,1,-106.26813507080078
blood,1,91.88257598876953
blood,1,5.885420799255371
blood,1,-22.273784637451172
blood,1,52.90317916870117
blood,1,-3.902930974960327
blood,1,-10.675878524780273
blood,1,31.87244415283203
blood,1,-24.596731185913086
blood,1,84.65105438232422
blood,1,-60.967777252197266
blood,1,58.903682708740234
blood,1,-52.940303802490234
blood,1,110.00819396972656
blood,1,53.8980598449707
blood,1,-105.38699340820312
blood,1,58.845703125
blood,1,143.6161346435547
blood,1,-65.42350006103516
blood,1,63.943363189697266
blood,1,2.1378228664398193
blood,1,78.73121643066406
blood,1,-105.48036193847656
blood,1,-15.077987670898438
blood,1,-77.54530334472656
blood,1,24.352100372314453
